time,id,pos,in_network
725,7,"[43.956102174486986, 53.34083485763521]",true
725,9,"[34.40843728353792, 57.917151733129415]",true
725,10,"[34.774055932754635, 45.20148211788909]",true
726,1,"[52.320898678924245, 43.85257299076882]",true
726,3,"[60.0511357431662, 23.438788806029873]",true
726,4,"[72.82945285352837, 35.269134742026644]",true
726,5,"[68.03489970997062, 53.511062243250485]",true
726,6,"[49.98160671135878, 54.60972261674635]",true
726,7,"[44.00990408976665, 53.425114071928704]",true
726,9,"[34.323195941705855, 57.969407974908364]",true
726,10,"[34.67498510907668, 45.20958166341155]",true
727,1,"[52.35244947628959, 43.888179686822845]",true
727,3,"[60.034211089445364, 23.342118296972785]",true
727,4,"[72.9027026275703, 35.20737207295676]",true
727,5,"[68.09211111007325, 53.51531582248509]",true
727,6,"[49.98330843213923, 54.610591633203114]",true
727,7,"[44.06370600504633, 53.50939328622221]",true
727,9,"[34.23795459987378, 58.02166421668732]",true
727,10,"[34.57591428539872, 45.217681208934]",true
728,1,"[52.38400027365493, 43.92378638287686]",true
728,3,"[60.017286435724536, 23.245447787915715]",true
728,4,"[72.97595240161222, 35.14560940388687]",true
728,5,"[68.14932251017586, 53.51956940171971]",true
728,6,"[49.98501015291968, 54.61146064965987]",true
728,7,"[44.11750792032599, 53.59367250051571]",true
728,9,"[34.152713258041715, 58.073920458466276]",true
728,10,"[34.57591428539872, 45.217681208934]",true
729,1,"[52.41555107102027, 43.95939307893088]",true
729,4,"[73.04920217565414, 35.083846734816994]",true
729,5,"[68.2065339102785, 53.52382298095432]",true
729,6,"[49.98671187370012, 54.61232966611663]",true
729,7,"[44.171309835605655, 53.677951714809204]",true
729,9,"[34.06747191620965, 58.126176700245225]",true
729,10,"[34.49569738220153, 45.23976423199683]",true
730,1,"[52.447101868385616, 43.994999774984905]",true
730,4,"[73.12245194969609, 35.02208406574711]",true
730,5,"[68.26374531038113, 53.52807656018893]",true
730,6,"[49.98841359448057, 54.61319868257338]",true
730,7,"[44.22511175088533, 53.76223092910271]",true
730,9,"[33.98223057437757, 58.17843294202418]",true
730,10,"[34.41548047900433, 45.261847255059664]",true
731,1,"[52.47865266575095, 44.03060647103892]",true
731,4,"[73.19570172373801, 34.96032139667723]",true
731,5,"[68.32095671048374, 53.53233013942354]",true
731,6,"[49.990115315261015, 54.614067699030144]",true
731,7,"[44.278913666164996, 53.8465101433962]",true
731,9,"[33.8969892325455, 58.23068918380313]",true
731,10,"[34.33526357580715, 45.28393027812249]",true
732,1,"[52.5102034631163, 44.06621316709294]",true
732,4,"[73.26895149777994, 34.89855872760734]",true
732,5,"[68.37816811058639, 53.53658371865816]",true
732,6,"[49.99181703604147, 54.6149367154869]",true
732,7,"[44.33271558144467, 53.93078935768971]",true
