time,id,pos,in_network
815,5,"[51.728897218833616, 61.09134630981921]",true
815,6,"[59.32434725326601, 66.54380463517947]",true
815,7,"[43.32348999902914, 54.53941402704193]",true
815,8,"[35.90985626436255, 56.15336845789863]",true
815,9,"[28.56323484022371, 45.254950850699]",true
815,10,"[36.36980749392758, 45.83300493329637]",true
816,1,"[40.90969826788116, 36.04034500816627]",true
816,2,"[51.043931176627694, 38.592414918172494]",true
816,3,"[57.0024628226703, 32.89833275259703]",true
816,4,"[69.07904662760822, 37.575302867661605]",true
816,5,"[51.68649031103654, 61.15296062805794]",true
816,6,"[59.42321202713253, 66.55491634750999]",true
816,7,"[43.399797929820394, 54.60312225648942]",true
816,8,"[35.90985626436255, 56.15336845789863]",true
816,9,"[28.550657597913403, 45.35395611357423]",true
816,10,"[36.35620736257024, 45.83662332977801]",true
817,1,"[40.8208636042396, 36.04478198444395]",true
817,2,"[50.963084363610925, 38.53473258471531]",true
817,3,"[57.012687945942474, 32.8064697912728]",true
817,4,"[69.10288034104758, 37.479149759517405]",true
817,5,"[51.64408340323947, 61.21457494629668]",true
817,6,"[59.52207680099906, 66.56602805984049]",true
817,7,"[43.47610586061165, 54.66683048593692]",true
817,8,"[35.95624242226568, 56.23981436791086]",true
817,9,"[28.538080355603096, 45.45296137644947]",true
817,10,"[36.34260723121289, 45.840241726259634]",true
818,1,"[40.73202894059805, 36.04921896072163]",true
818,2,"[50.89020301714172, 38.46639111506409]",true
818,3,"[57.02291306921464, 32.71460682994858]",true
818,4,"[69.12671405448694, 37.38299665137322]",true
818,5,"[51.6016764954424, 61.27618926453541]",true
818,6,"[59.620941574865576, 66.577139772171]",true
818,7,"[43.47610586061165, 54.66683048593692]",true
818,8,"[36.0026285801688, 56.326260277923076]",true
818,9,"[28.52550311329279, 45.55196663932471]",true
818,10,"[36.32900709985554, 45.84386012274126]",true
819,1,"[40.64319427695649, 36.053655936999306]",true
819,2,"[50.81732167067251, 38.39804964541287]",true
819,3,"[57.02291306921464, 32.71460682994858]",true
819,4,"[69.1505477679263, 37.28684354322901]",true
819,5,"[51.55926958764532, 61.33780358277415]",true
819,6,"[59.620941574865576, 66.577139772171]",true
819,7,"[43.48663314849267, 54.76352327434879]",true
819,8,"[36.04901473807194, 56.412706187935306]",true
819,9,"[28.51292587098248, 45.650971902199956]",true
819,10,"[36.31540696849819, 45.84747851922289]",true
820,1,"[40.55435961331494, 36.05809291327699]",true
820,2,"[50.74444032420332, 38.32970817576165]",true
820,3,"[57.011122410978665, 32.62237911155582]",true
820,4,"[69.17438148136566, 37.190690435084825]",true
820,5,"[51.516862679848245, 61.39941790101288]",true
820,6,"[59.71067959122287, 66.62103241503112]",true
820,7,"[43.49716043637369, 54.86021606276065]",true
820,8,"[36.09540089597506, 56.49915209794752]",true
820,9,"[28.500348628672178, 45.74997716507519]",true
820,10,"[36.30180683714084, 45.85109691570452]",true
821,1,"[40.465524949673394, 36.06252988955467]",true
821,2,"[50.671558977734115, 38.26136670611044]",true
821,3,"[56.99933175274269, 32.53015139316306]",true
821,4,"[69.19821519480502, 37.09453732694063]",true
821,5,"[51.47445577205117, 61.461032219251614]",true
821,6,"[59.80041760758016, 66.66492505789127]",true
821,7,"[43.50768772425471, 54.95690885117251]",true
821,8,"[36.14178705387818, 56.58559800795974]",true
821,9,"[28.48777138636187, 45.84898242795042]",true
821,10,"[36.28820670578349, 45.854715312186144]",true
822,1,"[40.37669028603184, 36.06696686583234]",true
822,2,"[50.598677631264906, 38.19302523645921]",true
822,3,"[56.98754109450671, 32.43792367477029]",true
822,4,"[69.24462786754319, 37.027288387084475]",true
822,5,"[51.43204886425409, 61.52264653749035]",true
822,6,"[59.89015562393746, 66.70881770075141]",true
822,7,"[43.51821501213573, 55.05360163958437]",true
822,8,"[36.18817321178131, 56.67204391797197]",true
822,9,"[28.475194144051564, 45.94798769082566]",true
822,10,"[36.27460657442614, 45.85833370866778]",true
823,1,"[40.28785562239029, 36.07140384211002]",true
823,2,"[50.52579628479571, 38.124683766808]",true
823,3,"[56.97575043627074, 32.345695956377526]",true
823,4,"[69.33368862078765, 37.014634846414026]",true
823,5,"[51.38964195645702, 61.584260855729084]",true
823,6,"[59.979893640294755, 66.75271034361154]",true
823,7,"[43.528742300016745, 55.15029442799623]",true
823,8,"[36.23455936968443, 56.758489827984185]",true
823,9,"[28.462616901741256, 46.046992953700894]",true
823,10,"[36.261006443068794, 45.861952105149406]",true
824,1,"[40.199020958748726, 36.075840818387704]",true
824,2,"[50.4529149383265, 38.056342297156775]",true
824,3,"[56.96395977803476, 32.253468237984755]",true
824,4,"[69.42274937403215, 37.00198130574358]",true
824,5,"[51.34723504865994, 61.64587517396783]",true
824,6,"[60.06963165665206, 66.79660298647168]",true
824,7,"[43.53926958789777, 55.2469872164081]",true
824,8,"[36.28094552758756, 56.84493573799641]",true
824,9,"[28.45003965943095, 46.14599821657614]",true
824,10,"[36.247406311711444, 45.86557050163103]",true
825,1,"[40.11018629510718, 36.080277794665385]",true
825,2,"[50.3800335918573, 37.98800082750556]",true
825,3,"[56.95216911979879, 32.16124051959199]",true
825,4,"[69.51181012727662, 36.989327765073135]",true
825,5,"[51.30482814086287, 61.70748949220656]",true
825,6,"[60.15936967300935, 66.84049562933181]",true
825,7,"[43.54979687577879, 55.34368000481996]",true
825,8,"[36.32733168549069, 56.931381648008625]",true
825,9,"[28.437462417120646, 46.24500347945137]",true
825,10,"[36.233806180354094, 45.86918889811266]",true
826,1,"[40.021351631465635, 36.08471477094306]",true
826,2,"[50.3071522453881, 37.91965935785434]",true
826,3,"[56.940378461562815, 32.069012801199236]",true
826,4,"[69.60087088052109, 36.976674224402686]",true
826,5,"[51.262421233065794, 61.76910381044529]",true
826,6,"[60.24910768936664, 66.88438827219196]",true
826,7,"[43.56032416365981, 55.440372793231816]",true
826,8,"[36.37371784339381, 57.01782755802085]",true
826,9,"[28.42488517481034, 46.3440087423266]",true
826,10,"[36.220206048996744, 45.87280729459429]",true
827,1,"[39.93251696782407, 36.08915174722074]",true
827,2,"[50.23427089891889, 37.85131788820312]",true
827,3,"[56.928587803326835, 31.97678508280646]",true
827,4,"[69.68993163376557, 36.96402068373224]",true
827,5,"[51.220014325268714, 61.83071812868403]",true
827,6,"[60.33884570572394, 66.9282809150521]",true
827,7,"[43.570851451540825, 55.53706558164369]",true
827,8,"[36.42010400129694, 57.10427346803307]",true
827,9,"[28.41230793250003, 46.443014005201846]",true
827,10,"[36.20660591763939, 45.876425691075916]",true
828,1,"[39.84368230418252, 36.09358872349842]",true
828,2,"[50.16138955244969, 37.782976418551904]",true
828,3,"[56.91679714509086, 31.884557364413702]",true
828,4,"[69.77899238701005, 36.95136714306179]",true
828,5,"[51.17760741747164, 61.892332446922765]",true
828,6,"[60.428583722081235, 66.97217355791223]",true
828,7,"[43.581378739421844, 55.63375837005554]",true
828,8,"[36.46649015920006, 57.19071937804529]",true
828,9,"[28.399730690189724, 46.54201926807708]",true
828,10,"[36.19300578628204, 45.88004408755755]",true
829,1,"[39.75484764054096, 36.098025699776095]",true
829,2,"[50.08850820598048, 37.71463494890068]",true
829,3,"[56.90500648685489, 31.79232964602093]",true
829,4,"[69.86805314025453, 36.93871360239134]",true
829,5,"[51.13520050967456, 61.953946765161504]",true
829,6,"[60.51832173843854, 67.01606620077237]",true
829,7,"[43.59190602730286, 55.73045115846741]",true
829,8,"[36.51287631710319, 57.27716528805752]",true
829,9,"[28.387153447879417, 46.64102453095232]",true
829,10,"[36.17940565492469, 45.88366248403918]",true
830,1,"[39.66601297689942, 36.102462676053776]",true
830,2,"[50.015626859511286, 37.646293479249465]",true
830,3,"[56.893215828618914, 31.70010192762817]",true
830,4,"[69.957113893499, 36.92606006172089]",true
830,5,"[51.171434471620735, 61.96082324988071]",true
830,6,"[60.60805975479583, 67.0599588436325]",true
830,7,"[43.60243331518388, 55.82714394687927]",true
830,8,"[36.55926247500632, 57.363611198069734]",true
830,9,"[28.374576205569113, 46.74002979382755]",true
830,10,"[36.16580552356735, 45.887280880520805]",true
831,1,"[39.570318016738916, 36.1124067987126]",true
831,2,"[49.942745513042084, 37.57795200959825]",true
831,3,"[56.886262640979915, 31.608243243538194]",true
831,4,"[70.04617464674348, 36.91340652105045]",true
831,5,"[51.23292402272423, 61.95012062796944]",true
831,6,"[60.69779777115312, 67.10385148649264]",true
831,7,"[43.6129606030649, 55.923836735291125]",true
831,8,"[36.60564863290944, 57.45005710808195]",true
831,9,"[28.361998963258806, 46.839035056702784]",true
831,10,"[36.15220539221, 45.89089927700243]",true
832,1,"[39.474328375417926, 36.12258747853511]",true
832,2,"[49.869864166572874, 37.509610539947026]",true
832,3,"[56.916903660250334, 31.5192524945927]",true
832,4,"[70.13523539998796, 36.90075298038]",true
832,5,"[51.29441357382772, 61.93941800605817]",true
832,6,"[60.78753578751042, 67.14774412935279]",true
832,7,"[43.62348789094592, 56.020529523703]",true
832,8,"[36.65203479081257, 57.53650301809418]",true
832,9,"[28.3494217209485, 46.93804031957803]",true
832,10,"[36.13860526085265, 45.89451767348406]",true
833,1,"[39.37833873409694, 36.13276815835762]",true
833,2,"[49.79698282010368, 37.44126907029581]",true
833,3,"[56.94754467952074, 31.430261745647215]",true
833,4,"[70.20483348516963, 36.8992652038682]",true
833,5,"[51.35590312493121, 61.92871538414689]",true
833,6,"[60.877273803867716, 67.19163677221292]",true
833,7,"[43.634015178826935, 56.117222312114855]",true
833,8,"[36.69842094871569, 57.622948928106396]",true
833,9,"[28.33684447863819, 47.03704558245326]",true
833,10,"[36.1250051294953, 45.89813606996569]",true
834,1,"[39.282349092775945, 36.142948838180125]",true
834,2,"[49.79698282010368, 37.44126907029581]",true
834,3,"[56.97818569879116, 31.34127099670172]",true
834,4,"[70.27008257528618, 36.90027245286202]",true
834,5,"[51.4173926760347, 61.91801276223562]",true
834,6,"[60.96732909532779, 67.23350478598887]",true
834,7,"[43.644542466707954, 56.21391510052672]",true
834,8,"[36.74480710661882, 57.70939483811863]",true
834,9,"[28.324267236327884, 47.136050845328505]",true
834,10,"[36.11140499813795, 45.90175446644732]",true
835,1,"[39.282349092775945, 36.142948838180125]",true
835,2,"[49.77585542419008, 37.43506195089288]",true
835,3,"[57.00882671806156, 31.252280247756236]",true
835,4,"[70.33533166540273, 36.90127970185584]",true
835,5,"[51.47888222713819, 61.90731014032435]",true
835,6,"[61.05810788149239, 67.27075595965277]",true
835,7,"[43.65506975458897, 56.31060788893858]",true
835,8,"[36.79119326452195, 57.79584074813084]",true
835,9,"[28.31168999401758, 47.235056108203736]",true
835,10,"[36.0978048667806, 45.90537286292895]",true
836,1,"[39.259170194217575, 36.0543626611768]",true
836,2,"[49.754728028276475, 37.42885483148996]",true
836,3,"[57.039467737331975, 31.16328949881075]",true
836,4,"[70.40058075551929, 36.902286950849664]",true
836,5,"[51.54037177824168, 61.89660751841308]",true
836,6,"[61.14888666765698, 67.30800713331668]",true
836,7,"[43.66559704246999, 56.407300677350435]",true
836,8,"[36.83757942242507, 57.88228665814306]",true
836,9,"[28.299112751707273, 47.33406137107897]",true
836,10,"[36.084204735423256, 45.90899125941058]",true
837,1,"[39.23599129565921, 35.965776484173475]",true
837,2,"[49.733600632362865, 37.42264771208703]",true
837,3,"[57.07010875660239, 31.074298749865257]",true
837,4,"[70.46582984563585, 36.90329419984349]",true
837,5,"[51.601861329345176, 61.8859048965018]",true
837,6,"[61.239665453821594, 67.34525830698058]",true
837,7,"[43.676124330351016, 56.503993465762306]",true
837,8,"[36.8839655803282, 57.96873256815529]",true
837,9,"[28.286535509396966, 47.43306663395421]",true
837,10,"[36.070604604065906, 45.912609655892204]",true
838,1,"[39.21281239710084, 35.87719030717015]",true
838,2,"[49.71247323644926, 37.4164405926841]",true
838,3,"[57.1007497758728, 30.985308000919773]",true
838,4,"[70.5310789357524, 36.90430144883731]",true
838,5,"[51.66335088044867, 61.87520227459053]",true
838,6,"[61.330444239986186, 67.38250948064449]",true
838,7,"[43.686651618232034, 56.600686254174164]",true
838,8,"[36.93035173823132, 58.055178478167505]",true
838,9,"[28.27395826708666, 47.53207189682944]",true
838,10,"[36.057004472708556, 45.91622805237383]",true
839,1,"[39.18963349854247, 35.788604130166824]",true
839,2,"[49.69134584053566, 37.41023347328117]",true
839,3,"[57.13139079514321, 30.896317251974274]",true
839,4,"[70.59632802586897, 36.90530869783113]",true
839,5,"[51.72484043155216, 61.86449965267926]",true
839,6,"[61.42122302615079, 67.41976065430839]",true
839,7,"[43.69717890611305, 56.697379042586036]",true
839,8,"[36.97673789613445, 58.141624388179736]",true
839,9,"[28.26138102477635, 47.63107715970469]",true
839,10,"[36.043404341351206, 45.919846448855466]",true
840,1,"[39.16645459998411, 35.7000179531635]",true
840,2,"[49.67021844462206, 37.404026353878244]",true
840,3,"[57.16203181441362, 30.80732650302879]",true
840,4,"[70.66157711598552, 36.906315946824954]",true
840,5,"[51.78632998265565, 61.853797030767986]",true
840,6,"[61.51200181231539, 67.4570118279723]",true
840,7,"[43.70770619399407, 56.79407183099789]",true
840,8,"[36.972877042597645, 58.238977257189795]",true
840,9,"[28.248803782466048, 47.73008242257992]",true
840,10,"[36.029804209993856, 45.923464845337094]",true
841,1,"[39.143275701425736, 35.61143177616019]",true
841,2,"[49.649091048708456, 37.397819234475314]",true
841,3,"[57.19267283368403, 30.71833575408331]",true
841,4,"[70.72682620610207, 36.907323195818776]",true
841,5,"[51.847819533759136, 61.843094408856714]",true
841,6,"[61.60278059847998, 67.4942630016362]",true
841,7,"[43.71823348187509, 56.890764619409744]",true
841,8,"[36.96277852224277, 58.33768411670153]",true
841,9,"[28.23622654015574, 47.82908768545515]",true
841,10,"[36.016204078636505, 45.92708324181872]",true
842,1,"[39.120096802867366, 35.52284559915685]",true
842,2,"[49.62796365279485, 37.391612115072384]",true
842,3,"[57.22331385295444, 30.62934500513781]",true
842,4,"[70.79207529621864, 36.9083304448126]",true
842,5,"[51.909309084862635, 61.832391786945436]",true
842,6,"[61.69355938464459, 67.5315141753001]",true
842,7,"[43.72876076975611, 56.987457407821616]",true
842,8,"[36.9526800018879, 58.436390976213275]",true
842,9,"[28.223649297845434, 47.928092948330395]",true
842,10,"[36.002603947279155, 45.93070163830035]",true
843,1,"[39.096917904309, 35.43425942215354]",true
843,2,"[49.606836256881245, 37.385404995669454]",true
843,3,"[57.25395487222485, 30.540354256192327]",true
843,4,"[70.8573243863352, 36.90933769380642]",true
843,5,"[51.97079863596612, 61.821689165034165]",true
843,6,"[61.784338170809185, 67.568765348964]",true
843,7,"[43.739288057637125, 57.08415019623347]",true
843,8,"[36.942581481533026, 58.535097835725004]",true
843,9,"[28.21107205553513, 48.027098211205626]",true
843,10,"[35.98900381592181, 45.934320034781976]",true
844,1,"[39.07373900575063, 35.3456732451502]",true
844,2,"[49.58570886096764, 37.37919787626653]",true
844,3,"[57.284595891495265, 30.451363507246832]",true
844,4,"[70.92257347645175, 36.91034494280024]",true
844,5,"[52.03228818706962, 61.810986543122894]",true
844,6,"[61.87511695697379, 67.60601652262791]",true
844,7,"[43.749815345518144, 57.180842984645345]",true
844,8,"[36.93248296117815, 58.63380469523675]",true
844,9,"[28.19849481322482, 48.12610347408087]",true
844,10,"[35.97540368456446, 45.9379384312636]",true
845,1,"[39.05056010719226, 35.25708706814689]",true
845,2,"[49.56458146505404, 37.3729907568636]",true
845,3,"[57.31523691076568, 30.362372758301348]",true
845,4,"[70.9846161993671, 36.866343366438116]",true
845,5,"[52.09377773817311, 61.800283921211616]",true
845,6,"[61.96589574313838, 67.64326769629182]",true
845,7,"[43.76034263339916, 57.2775357730572]",true
845,8,"[36.92238444082328, 58.732511554748484]",true
845,9,"[28.197491402776684, 48.13400209865521]",true
845,10,"[35.96180355320711, 45.94155682774524]",true
846,1,"[39.0273812086339, 35.168500891143566]",true
846,2,"[49.54345406914044, 37.36678363746067]",true
846,3,"[57.34587793003609, 30.273382009355863]",true
846,4,"[71.04538077759985, 36.80440005502539]",true
846,5,"[52.155267289276594, 61.789581299300345]",true
846,6,"[62.05667452930298, 67.68051886995572]",true
846,7,"[43.77086992128018, 57.37422856146906]",true
846,8,"[36.912285920468406, 58.83121841426021]",true
846,9,"[28.197491402776684, 48.13400209865521]",true
846,10,"[35.9435146075369, 45.94683029312036]",true
847,1,"[39.00420231007553, 35.07991471414024]",true
847,2,"[49.52232667322683, 37.36057651805774]",true
847,3,"[57.3765189493065, 30.18439126041037]",true
847,4,"[71.04538077759985, 36.80440005502539]",true
847,5,"[52.21675684038009, 61.77887867738907]",true
847,6,"[62.14745331546759, 67.71777004361962]",true
847,7,"[43.7813972091612, 57.470921349880925]",true
847,8,"[36.90218740011353, 58.92992527377196]",true
847,9,"[28.197491402776684, 48.13400209865521]",true
847,10,"[35.85653206096549, 45.97635139008146]",true
848,1,"[38.98102341151716, 34.991328537136916]",true
848,2,"[49.501199277313226, 37.35436939865482]",true
848,3,"[57.407159968576906, 30.095400511464884]",true
848,4,"[71.0570390383656, 36.772832047789336]",true
848,5,"[52.27824639148358, 61.7681760554778]",true
848,6,"[62.23823210163218, 67.75502121728353]",true
848,7,"[43.81825642169826, 57.55729991364116]",true
848,8,"[36.89208887975866, 59.02863213328369]",true
848,9,"[28.197491402776684, 48.13400209865521]",true
848,10,"[35.76954951439411, 46.00587248704256]",true
849,1,"[38.957844512958786, 34.90274236013359]",true
849,2,"[49.480071881399624, 37.34816227925189]",true
849,3,"[57.437800987847325, 30.00640976251939]",true
849,4,"[71.06869729913134, 36.741264040553276]",true
849,5,"[52.339735942587076, 61.757473433566524]",true
849,6,"[62.32320498648581, 67.80388627229227]",true
849,7,"[43.855516313783085, 57.64352153107398]",true
849,8,"[36.88199035940379, 59.12733899279544]",true
849,9,"[28.197491402776684, 48.13400209865521]",true
849,10,"[35.6825669678227, 46.035393584003664]",true
850,1,"[38.92115242201072, 34.82009107463983]",true
850,2,"[49.45894448548602, 37.34195515984896]",true
850,3,"[57.46844200711773, 29.917419013573905]",true
850,4,"[71.0803555598971, 36.70969603331722]",true
850,5,"[52.40122549369056, 61.74677081165525]",true
850,6,"[62.40184282210232, 67.86542369395224]",true
850,7,"[43.8927762058679, 57.72974314850679]",true
850,8,"[36.871891839048914, 59.226045852307166]",true
850,9,"[28.197491402776684, 48.13400209865521]",true
850,10,"[35.59558442125132, 46.06491468096476]",true
851,1,"[38.85460362649663, 34.750552627128585]",true
851,2,"[49.43781708957241, 37.335748040446035]",true
851,3,"[57.49908302638814, 29.82842826462842]",true
851,4,"[71.09201382066286, 36.67812802608117]",true
851,5,"[52.46271504479405, 61.73606818974398]",true
851,6,"[62.48048065771883, 67.92696111561219]",true
851,7,"[43.93003609795271, 57.8159647659396]",true
851,8,"[36.86179331869404, 59.324752711818896]",true
851,9,"[28.197491402776684, 48.13400209865521]",true
851,10,"[35.508601874679925, 46.09443577792586]",true
852,1,"[38.78805483098254, 34.68101417961733]",true
852,2,"[49.41668969365881, 37.329540921043105]",true
852,3,"[57.529724045658554, 29.739437515682926]",true
852,4,"[71.1036720814286, 36.64656001884511]",true
852,5,"[52.52420459589755, 61.72536556783271]",true
852,6,"[62.55911849333535, 67.98849853727216]",true
852,7,"[43.967295990037535, 57.90218638337242]",true
852,8,"[36.85169479833917, 59.423459571330646]",true
852,9,"[28.197491402776684, 48.13400209865521]",true
852,10,"[35.42161932810853, 46.123956874886964]",true
853,1,"[38.72150603546845, 34.61147573210608]",true
853,2,"[49.39556229774521, 37.323333801640175]",true
853,3,"[57.560365064928966, 29.650446766737442]",true
853,4,"[71.11533034219435, 36.614992011609054]",true
853,5,"[52.585694147001036, 61.71466294592143]",true
853,6,"[62.63775632895186, 68.05003595893211]",true
853,7,"[44.00455588212235, 57.98840800080522]",true
853,8,"[36.841596277984294, 59.522166430842375]",true
853,9,"[28.197491402776684, 48.13400209865521]",true
853,10,"[35.334636781537135, 46.15347797184806]",true
854,1,"[38.654957239954356, 34.54193728459482]",true
854,2,"[49.3744349018316, 37.317126682237244]",true
854,3,"[57.59100608419938, 29.561456017791947]",true
854,4,"[71.12698860296011, 36.58342400437299]",true
854,5,"[52.647183698104534, 61.70396032401016]",true
854,6,"[62.71639416456838, 68.11157338059209]",true
854,7,"[44.041815774207166, 58.07462961823804]",true
854,8,"[36.83149775762942, 59.62087329035412]",true
854,9,"[28.197491402776684, 48.13400209865521]",true
854,10,"[35.24765423496573, 46.18299906880917]",true
855,1,"[38.588408444440276, 34.472398837083574]",true
855,2,"[49.353307505917996, 37.31091956283432]",true
855,3,"[57.62164710346979, 29.472465268846463]",true
855,4,"[71.13864686372585, 36.55185599713693]",true
855,5,"[52.70867324920802, 61.69325770209889]",true
855,6,"[62.79503200018489, 68.17311080225204]",true
855,7,"[44.07907566629198, 58.160851235670854]",true
855,8,"[36.82139923727455, 59.719580149865855]",true
855,9,"[28.197491402776684, 48.13400209865521]",true
855,10,"[35.160671688394345, 46.212520165770265]",true
